,totalid
"293896,7387688",2.0
"293901,7378862",4.0
"293907,7378811",1.0
"293910,7378879",2.0
"293921,7387225",2.0
"293922,7379643",8.0
"293929,7387783",1.0
"293930,7387765",1.0
"293962,7387783",9.0
"293990,7379030",2.0
"294007,7379040",2.0
"294009,7388052",2.0
"294018,7379159",4.0
"294023,7380785",1.0
"294030,7387459",2.0
"294050,7388942",2.0
"294052,7388939",2.0
"294053,7388935",2.0
"294068,7378927",2.0
"294069,7378927",2.0
"294075,7378162",1.0
"294086,7388784",1.0
"294092,7379383",1.0
"294123,7379530",7.0
"294138,7388173",6.0
"294141,7387763",1.0
"294146,7378883",7.0
"294147,7388614",1.0
"294148,7388199",1.0
"294151,7387724",3.0
"294154,7375652",3.0
"294155,7389505",6.0
"294160,7386258",8.0
"294173,7388316",2.0
"294177,7387684",2.0
"294200,7377637",5.0
"294205,7388021",2.0
"294212,7389621",6.0
"294240,7389033",1.0
"294274,7387649",2.0
"294301,7389548",6.0
"294306,7371985",8.0
"294311,7381551",8.0
"294314,7387693",2.0
"294320,7381577",4.0
"294323,7387180",8.0
"294389,7353726",18.0
"294394,7378221",11.0
"294396,7387798",4.0
"294427,7389589",1.0
"294512,7410734",3.0
"294552,7390527",6.0
"294581,7410529",8.0
"294594,7384511",1.0
"294618,7410518",8.0
"294621,7372013",5.0
"294641,7410347",2.0
"294656,7411501",6.0
"294675,7389388",10.0
"294681,7385831",9.0
"294687,7411840",6.0
"294702,7387153",7.0
"294715,7410503",7.0
"294735,7410561",6.0
"294736,7390660",4.0
"294736,7411200",16.0
"294745,7410566",3.0
"294806,7410699",6.0
"294843,7411288",2.0
"294849,7411592",6.0
"294869,7410626",4.0
"294878,7411263",3.0
"294881,7411254",2.0
"294941,7411138",2.0
"294951,7411068",2.0
"294963,7410482",5.0
"294974,7351588",2.0
"294991,7390690",7.0
"294997,7410573",5.0
"295000,7410901",6.0
"295020,7388059",2.0
"295033,7386274",2.0
"295034,7410903",2.0
"295036,7411253",5.0
"295048,7410850",6.0
"295055,7387628",2.0
"295064,7387103",8.0
"295070,7387597",2.0
"295073,7411303",20.0
"295077,7388531",3.0
"295079,7395436",4.0
"295120,7390070",10.0
"295123,7380049",12.0
"295150,7381390",2.0
"295182,7395398",1.0
"295198,7379614",7.0
"295224,7387903",5.0
"295238,7390346",2.0
"295243,7411456",4.0
"295248,7387977",2.0
"295248,7388030",4.0
"295250,7388025",3.0
"295252,7381756",2.0
"295275,7411259",5.0
"295296,7411001",2.0
"295299,7410966",8.0
"295303,7381599",1.0
"295304,7394985",2.0
"295312,7410907",2.0
"295319,7411011",7.0
"295327,7410920",2.0
"295343,7411965",2.0
"295364,7386390",10.0
"295374,7411188",2.0
"295377,7386655",7.0
"295380,7388166",6.0
"295384,7410910",2.0
"295399,7386675",10.0
"295401,7381052",4.0
"295405,7411104",3.0
"295405,7411138",1.0
"295405,7411139",8.0
"295412,7410905",6.0
"295415,7410915",2.0
"295419,7410923",4.0
"295437,7411149",2.0
"295438,7386531",2.0
"295441,7411091",4.0
"295441,7411092",2.0
"295445,7393442",2.0
"295456,7392590",6.0
"295458,7411146",2.0
"295459,7386668",7.0
"295460,7382015",2.0
"295477,7386824",2.0
"295482,7388047",2.0
"295496,7386451",6.0
"295503,7411065",3.0
"295507,7386290",8.0
"295515,7386839",7.0
"295516,7386819",8.0
"295525,7387041",1.0
"295529,7390169",1.0
"295531,7410867",1.0
"295547,7410839",1.0
"295565,7387105",10.0
"295572,7387048",1.0
"295590,7383034",8.0
"295606,7390266",2.0
"295614,7386509",7.0
"295621,7351831",1.0
"295630,7387596",6.0
"295632,7390293",1.0
"295640,7386919",8.0
"295672,7352083",2.0
"295686,7388482",4.0
"295690,7390308",2.0
"295697,7386721",6.0
"295701,7386418",2.0
"295719,7383126",14.0
"295725,7352206",8.0
"295737,7352011",2.0
"295755,7411925",3.0
"295765,7394329",1.0
"295766,7383274",2.0
"295771,7390336",1.0
"295778,7410372",4.0
"295792,7382991",2.0
"295827,7387670",2.0
"295830,7390395",1.0
"295834,7385060",2.0
"295873,7387744",2.0
"295874,7387750",2.0
"295892,7458494",1.0
"295949,7394393",7.0
"295968,7383328",9.0
"295968,7383650",2.0
"295983,7383120",10.0
"295991,7352039",5.0
"296094,7393005",4.0
"296099,7383073",6.0
"296104,7396017",3.0
"296157,7393009",5.0
"296159,7352048",4.0
"296228,7410266",2.0
"296284,7401168",4.0
"296292,7384487",6.0
"296303,7401019",10.0
"296305,7393981",4.0
"296308,7401692",2.0
"296315,7393981",5.0
"296355,7386121",1.0
"296361,7387308",1.0
"296364,7394097",6.0
"296366,7394100",7.0
"296400,7388409",4.0
"296407,7394154",4.0
"296443,7394059",7.0
"296455,7383858",11.0
"296455,7400864",2.0
"296459,7394154",3.0
"296500,7394478",2.0
"296527,7394496",16.0
"296540,7384230",4.0
"296566,7394447",6.0
"296610,7396045",3.0
"296679,7384602",5.0
"296690,7395917",3.0
"296708,7383117",3.0
"296720,7383552",2.0
"296729,7386783",3.0
"296779,7384359",6.0
"296786,7394575",4.0
"296818,7395775",14.0
"296822,7383589",8.0
"296822,7384224",2.0
"296822,7384226",4.0
"296879,7384389",6.0
"296883,7384351",4.0
"296934,7385082",7.0
"296964,7384318",1.0
"296973,7383178",2.0
"296994,7394696",9.0
"297004,7395215",6.0
"297025,7347794",1.0
"297031,7396080",10.0
"297051,7391506",7.0
"297058,7394496",8.0
"297060,7382097",2.0
"297092,7394822",5.0
"297102,7384288",4.0
"297104,7395621",4.0
"297108,7395157",1.0
"297124,7353032",1.0
"297151,7394906",2.0
"297167,7352478",6.0
"297196,7395764",3.0
"297200,7387265",2.0
"297220,7387249",8.0
"297224,7387277",2.0
"297346,7409189",3.0
"297363,7353693",7.0
"297373,7409187",8.0
"297401,7393224",7.0
"297415,7385506",2.0
"297435,7409298",2.0
"297437,7383093",7.0
"297440,7409306",8.0
"297448,7408913",2.0
"297456,7395624",2.0
"297476,7409225",2.0
"297478,7409239",2.0
"297480,7396361",6.0
"297484,7386819",2.0
"297484,7408914",3.0
"297501,7409090",4.0
"297506,7385629",1.0
"297529,7409297",2.0
"297534,7409294",2.0
"297598,7383884",1.0
"297608,7396508",1.0
"297624,7355800",13.0
"297703,7395927",3.0
"297705,7355809",6.0
"297754,7409104",9.0
"297754,7409955",8.0
"297761,7409947",4.0
"297762,7409171",6.0
"297767,7409940",6.0
"297775,7387868",2.0
"297775,7409432",6.0
"297800,7409102",2.0
"297803,7395941",5.0
"297818,7395588",6.0
"297819,7408874",13.0
"297824,7309008",1.0
"297826,7408970",4.0
"297840,7410356",9.0
"297842,7385788",2.0
"297866,7395139",2.0
"297872,7408903",2.0
"297875,7355941",9.0
"297879,7396212",9.0
"297887,7396298",2.0
"297906,7387366",4.0
"297910,7395209",2.0
"297911,7395207",2.0
"297911,7395208",2.0
"297923,7452374",2.0
"297924,7452374",1.0
"297930,7409454",4.0
"297950,7395158",2.0
"297957,7409145",7.0
"297971,7395733",2.0
"298001,7409006",1.0
"298002,7390002",20.0
"298026,7409094",3.0
"298027,7409095",5.0
"298087,7408849",10.0
"298108,7396258",7.0
"298176,7390837",3.0
"298209,7384200",9.0
"298212,7395784",2.0
"298215,7395774",12.0
"298224,7408777",6.0
"298237,7408698",3.0
"298299,7395297",10.0
"298300,7409117",1.0
"298323,7396760",7.0
"298324,7410050",5.0
"298329,7409561",2.0
"298346,7401498",1.0
"298364,7409353",9.0
