,totalid
"320245,7418314",1.0
"320247,7385330",5.0
"320247,7386717",2.0
"320247,7391391",2.0
"320249,7392901",2.0
"320250,7390879",1.0
"320250,7417340",8.0
"320251,7378524",8.0
"320251,7381680",1.0
"320251,7395363",2.0
"320252,7402364",6.0
"320252,7406337",4.0
"320253,7399176",4.0
"320253,7410514",1.0
"320255,7370943",3.0
"320258,7394516",3.0
"320258,7395409",3.0
"320258,7397201",2.0
"320259,7377655",12.0
"320259,7384202",2.0
"320259,7392165",6.0
"320259,7393952",6.0
"320259,7401073",9.0
"320260,7390795",8.0
"320260,7396706",1.0
"320262,7392333",4.0
"320263,7379050",2.0
"320264,7381901",2.0
"320265,7381179",1.0
"320265,7381198",7.0
"320265,7400099",2.0
"320266,7400961",6.0
"320267,7394722",4.0
"320268,7399183",2.0
"320268,7401942",2.0
"320269,7386035",4.0
"320275,7424550",7.0
"320280,7389132",4.0
"320281,7380368",6.0
"320282,7392892",4.0
"320282,7394317",4.0
"320282,7417949",2.0
"320283,7383111",1.0
"320285,7383719",1.0
"320285,7394355",5.0
"320287,7398825",2.0
"320288,7399365",5.0
"320290,7391989",1.0
"320291,7380281",1.0
"320291,7382372",7.0
"320292,7389989",3.0
"320292,7424898",4.0
"320293,7387665",3.0
"320295,7382964",48.0
"320295,7395907",9.0
"320296,7365889",6.0
"320296,7378526",7.0
"320298,7382169",6.0
"320299,7379989",1.0
"320299,7391733",1.0
"320301,7380496",3.0
"320302,7401700",4.0
"320303,7382712",1.0
"320303,7383488",14.0
"320304,7386731",1.0
"320306,7417840",4.0
"320309,7401273",4.0
"320311,7417818",4.0
"320312,7385137",2.0
"320313,7381167",5.0
"320313,7395872",3.0
"320315,7381368",2.0
"320315,7382769",1.0
"320316,7385834",5.0
"320317,7418532",3.0
"320318,7387669",3.0
"320319,7400943",2.0
"320320,7382807",8.0
"320321,7410321",1.0
"320322,7382376",3.0
"320323,7378979",16.0
"320325,7388387",2.0
"320325,7391209",3.0
"320326,7375565",7.0
"320326,7380525",6.0
"320326,7391063",7.0
"320327,7387698",2.0
"320327,7400952",2.0
"320330,7381520",2.0
"320331,7370803",10.0
"320331,7375492",2.0
"320331,7375525",7.0
"320331,7381967",4.0
"320331,7385855",3.0
"320332,7375487",3.0
"320334,7380373",2.0
"320335,7400039",4.0
"320338,7409922",4.0
"320341,7402737",2.0
"320342,7409904",1.0
"320343,7384959",6.0
"320344,7398658",2.0
"320345,7384449",2.0
"320346,7378630",2.0
"320346,7381594",4.0
"320347,7370819",1.0
"320348,7384447",7.0
"320349,7421151",1.0
"320352,7398383",3.0
"320353,7407802",2.0
"320354,7377822",7.0
"320355,7394682",2.0
"320356,7423952",4.0
"320357,7416679",1.0
"320358,7379519",8.0
"320359,7388349",1.0
"320359,7401990",3.0
"320360,7384574",7.0
"320364,7401278",1.0
"320364,7401428",1.0
"320364,7416960",2.0
"320365,7394249",3.0
"320366,7381336",13.0
"320367,7378394",7.0
"320367,7389636",6.0
"320369,7379180",10.0
"320369,7380478",2.0
"320369,7401445",4.0
"320370,7410350",2.0
"320372,7383133",2.0
"320372,7386159",2.0
"320373,7400916",7.0
"320374,7394207",2.0
"320375,7380435",2.0
"320378,7397181",2.0
"320378,7401054",7.0
"320380,7394563",2.0
"320380,7398929",6.0
"320380,7423140",2.0
"320381,7394580",2.0
"320381,7402791",8.0
"320381,7418617",8.0
"320382,7410063",1.0
"320384,7424055",7.0
"320386,7388067",2.0
"320386,7394556",1.0
"320388,7382136",4.0
"320390,7405465",2.0
"320391,7383846",7.0
"320392,7378753",3.0
"320392,7384694",5.0
"320394,7384176",3.0
"320396,7389502",3.0
"320398,7378233",2.0
"320402,7385033",2.0
"320402,7387744",3.0
"320404,7387889",1.0
"320405,7382829",1.0
"320406,7382641",1.0
"320406,7385829",9.0
"320406,7389615",7.0
"320407,7386514",1.0
"320407,7390953",2.0
"320409,7418243",6.0
"320410,7379045",8.0
"320411,7383470",2.0
"320414,7417248",2.0
"320415,7419298",5.0
"320416,7402639",9.0
"320417,7399223",4.0
"320418,7370921",8.0
"320421,7387783",2.0
"320421,7397532",8.0
"320421,7410469",1.0
"320425,7388070",1.0
"320425,7391968",8.0
"320427,7391084",4.0
"320427,7397519",12.0
"320428,7394141",1.0
"320429,7384607",4.0
"320432,7395966",2.0
"320434,7409956",1.0
"320436,7354532",7.0
"320436,7401282",2.0
"320437,7410364",2.0
"320439,7399475",1.0
"320440,7380423",2.0
"320442,7390449",2.0
"320442,7393800",2.0
"320445,7389621",2.0
"320446,7396098",2.0
"320448,7382540",2.0
"320449,7385879",3.0
"320450,7380599",3.0
"320450,7383641",6.0
"320450,7390510",2.0
"320450,7419427",9.0
"320451,7425187",4.0
"320452,7391883",14.0
"320458,7391206",6.0
"320459,7379664",3.0
"320461,7401375",14.0
"320462,7386275",3.0
"320463,7399058",8.0
"320464,7426874",8.0
"320467,7381156",1.0
"320467,7410266",7.0
"320467,7418200",4.0
"320472,7417167",4.0
"320474,7423098",7.0
"320475,7399537",3.0
"320476,7382233",1.0
"320478,7395294",2.0
"320478,7418022",2.0
"320479,7380983",10.0
"320480,7394037",1.0
"320483,7399536",8.0
"320484,7400871",7.0
"320488,7399333",12.0
"320489,7390485",2.0
"320490,7395424",2.0
"320491,7401315",3.0
"320491,7401657",12.0
"320494,7399577",6.0
"320497,7395446",1.0
"320498,7387940",2.0
"320499,7401036",4.0
"320499,7402657",4.0
"320500,7396613",2.0
"320501,7392249",2.0
"320502,7402246",6.0
"320504,7418206",5.0
"320507,7382483",6.0
"320510,7392238",1.0
"320511,7425222",1.0
"320514,7393754",2.0
"320516,7370857",5.0
"320517,7381950",5.0
"320518,7384378",11.0
"320519,7398018",2.0
"320519,7398861",4.0
"320520,7385649",1.0
"320520,7388730",2.0
"320520,7410300",3.0
"320521,7378010",9.0
"320522,7389628",1.0
"320523,7388036",1.0
"320525,7395025",3.0
"320526,7390203",5.0
"320526,7399141",2.0
"320526,7418049",4.0
"320527,7392243",2.0
"320527,7411277",5.0
"320528,7402135",4.0
"320530,7388565",2.0
"320531,7384583",2.0
"320531,7399603",2.0
"320532,7382955",2.0
"320534,7402477",6.0
"320535,7388288",2.0
"320535,7389597",6.0
"320536,7380421",1.0
"320538,7383512",1.0
"320540,7391668",2.0
"320541,7388926",2.0
"320543,7392230",1.0
"320545,7383027",1.0
"320546,7387130",1.0
"320548,7388747",2.0
"320548,7423687",5.0
"320549,7397956",1.0
"320550,7361773",2.0
"320550,7390326",2.0
"320550,7393706",4.0
"320553,7386515",4.0
"320553,7388030",2.0
"320555,7402699",4.0
"320556,7401958",2.0
"320557,7382571",15.0
"320557,7386524",3.0
"320558,7391625",3.0
"320559,7391386",5.0
"320560,7399412",2.0
"320561,7398464",2.0
"320562,7423453",5.0
"320564,7380923",1.0
"320566,7399412",1.0
"320568,7379471",7.0
"320570,7394886",6.0
"320571,7398371",6.0
"320571,7401811",4.0
"320572,7417022",1.0
"320574,7399393",1.0
"320576,7387791",2.0
"320576,7425252",2.0
"320577,7400645",1.0
"320578,7380400",2.0
"320579,7384159",6.0
"320579,7392252",1.0
"320580,7390526",2.0
"320581,7383060",2.0
"320583,7384166",7.0
"320583,7390971",4.0
"320585,7391094",2.0
"320585,7416790",4.0
"320587,7400699",7.0
"320588,7390536",2.0
"320588,7392813",1.0
"320589,7381872",7.0
"320589,7382894",4.0
"320589,7391455",1.0
"320589,7391998",3.0
"320590,7379058",2.0
"320590,7384930",5.0
"320590,7395201",5.0
"320591,7389392",1.0
"320597,7382017",4.0
"320598,7385160",7.0
"320598,7389492",4.0
"320599,7380212",6.0
"320600,7375151",9.0
"320600,7375153",1.0
"320600,7409812",3.0
"320601,7378705",2.0
"320601,7383477",41.0
"320603,7387802",1.0
"320604,7384587",32.0
"320605,7410393",2.0
"320606,7384257",8.0
"320607,7393281",2.0
"320608,7401413",1.0
"320609,7380819",1.0
"320609,7405715",2.0
"320610,7384781",4.0
"320610,7393934",2.0
"320610,7394057",4.0
"320611,7391562",3.0
"320611,7399943",9.0
"320612,7401381",2.0
"320612,7416749",4.0
"320613,7383074",1.0
"320615,7401746",7.0
"320620,7380960",1.0
"320620,7387707",2.0
"320621,7390458",3.0
"320621,7399306",5.0
"320622,7381901",4.0
"320623,7386582",9.0
"320623,7389046",1.0
"320623,7397643",2.0
"320627,7385000",3.0
"320627,7390912",4.0
"320627,7394292",2.0
"320628,7402717",1.0
"320628,7425219",5.0
"320630,7392376",6.0
"320630,7421742",4.0
"320631,7370695",8.0
"320632,7382120",6.0
"320632,7384483",2.0
"320632,7386990",8.0
"320636,7401539",1.0
"320637,7401167",4.0
"320638,7380738",2.0
"320642,7392760",2.0
"320643,7383424",1.0
"320645,7383494",29.0
"320646,7383334",7.0
"320648,7387651",1.0
"320648,7389290",1.0
"320649,7389706",9.0
"320649,7392788",2.0
"320649,7399894",1.0
"320650,7382078",2.0
"320650,7398754",10.0
"320651,7394877",3.0
"320651,7424549",1.0
"320652,7400679",6.0
"320652,7416755",4.0
"320653,7394723",7.0
"320654,7380861",1.0
"320654,7410195",1.0
"320655,7393329",7.0
"320655,7409602",2.0
"320656,7391236",2.0
"320657,7400737",3.0
"320658,7381445",5.0
"320659,7417685",1.0
"320662,7384403",1.0
"320662,7400785",1.0
"320662,7416759",4.0
"320662,7418499",3.0
"320663,7398089",5.0
"320665,7381849",6.0
"320665,7388605",3.0
"320665,7410449",1.0
"320671,7390473",1.0
"320671,7390631",5.0
"320672,7382061",1.0
"320672,7409605",3.0
"320673,7400880",1.0
"320676,7394693",7.0
"320680,7375634",8.0
"320680,7381997",8.0
"320681,7386460",8.0
"320681,7398277",4.0
"320682,7382076",2.0
"320682,7394240",1.0
"320683,7386154",1.0
"320684,7391011",3.0
"320686,7383162",5.0
"320686,7410362",1.0
"320688,7400657",10.0
"320690,7392345",1.0
"320690,7402328",4.0
"320691,7399006",1.0
"320691,7403178",3.0
"320692,7387938",2.0
"320692,7394361",7.0
"320693,7387017",1.0
"320693,7400937",1.0
"320694,7387939",2.0
"320694,7398998",5.0
"320695,7382311",3.0
"320695,7403952",2.0
"320696,7390778",6.0
"320697,7391833",2.0
"320700,7370791",3.0
"320700,7398352",2.0
"320700,7403149",3.0
"320701,7404702",3.0
"320702,7384367",5.0
"320703,7392326",6.0
"320703,7401538",9.0
"320706,7394077",6.0
"320706,7403150",2.0
"320709,7388372",13.0
"320710,7410400",1.0
"320711,7414198",5.0
"320712,7403800",2.0
"320713,7379130",1.0
"320713,7381535",2.0
"320713,7385173",3.0
"320714,7391857",7.0
"320717,7401242",2.0
"320720,7383580",1.0
"320722,7393641",2.0
"320722,7407416",6.0
"320722,7409162",3.0
"320726,7383580",1.0
"320726,7384298",4.0
"320726,7388108",2.0
"320727,7395323",4.0
"320729,7416561",1.0
"320730,7396588",1.0
"320732,7388116",2.0
"320732,7389309",2.0
"320733,7379183",3.0
"320733,7382155",7.0
"320733,7393014",4.0
"320733,7394950",5.0
"320733,7418196",4.0
"320734,7383882",3.0
"320734,7383927",4.0
"320735,7398314",2.0
"320736,7374571",7.0
"320736,7383379",8.0
"320736,7413450",6.0
"320737,7399931",4.0
"320737,7405591",2.0
"320738,7394034",1.0
"320738,7410428",1.0
"320739,7384615",5.0
"320742,7394078",6.0
"320743,7393625",1.0
"320744,7395360",2.0
"320747,7381073",6.0
"320747,7388074",2.0
"320747,7399162",4.0
"320747,7401600",1.0
"320748,7398931",6.0
"320750,7389501",5.0
"320750,7395203",4.0
"320750,7398535",11.0
"320750,7399097",5.0
"320751,7411152",3.0
"320753,7374970",2.0
"320754,7378936",3.0
"320758,7383897",17.0
"320758,7386848",11.0
"320759,7383907",2.0
"320760,7378956",4.0
"320760,7387895",1.0
"320762,7388186",6.0
"320762,7388851",7.0
"320762,7391981",2.0
"320764,7426510",7.0
"320765,7391514",5.0
"320767,7401875",1.0
"320768,7379615",2.0
"320768,7403997",2.0
"320769,7382075",2.0
"320769,7382340",1.0
"320769,7383481",2.0
"320769,7409695",2.0
"320770,7424010",6.0
"320771,7393279",2.0
"320772,7380822",6.0
"320772,7384650",9.0
"320772,7401709",2.0
"320773,7379544",9.0
"320773,7393637",2.0
"320773,7425485",6.0
"320777,7382369",6.0
"320779,7393981",5.0
"320780,7388195",2.0
"320780,7403136",8.0
"320781,7380460",1.0
"320783,7404877",2.0
"320787,7398153",3.0
"320791,7397753",1.0
"320793,7414443",2.0
"320794,7388230",4.0
"320795,7383474",18.0
"320795,7386981",3.0
"320795,7394219",3.0
"320799,7389272",6.0
"320799,7393656",2.0
"320801,7413909",7.0
"320803,7378748",6.0
"320803,7387078",1.0
"320804,7401202",4.0
"320805,7425630",12.0
"320806,7384917",1.0
"320806,7411357",2.0
"320807,7423958",7.0
"320808,7381062",5.0
"320808,7386480",6.0
"320809,7361764",9.0
"320809,7386147",1.0
"320809,7389016",7.0
"320811,7382654",6.0
"320811,7424860",5.0
"320813,7383143",2.0
"320816,7391887",1.0
"320817,7374998",1.0
"320818,7392317",6.0
"320819,7410094",2.0
"320820,7390630",1.0
"320820,7393710",1.0
"320820,7403577",2.0
"320821,7383326",1.0
"320822,7394130",2.0
"320822,7405831",7.0
"320824,7392468",2.0
"320825,7393718",2.0
"320828,7392483",3.0
"320831,7393308",6.0
"320831,7410266",4.0
"320838,7394131",4.0
"320840,7383382",1.0
"320840,7389337",2.0
"320840,7399183",5.0
"320841,7382672",2.0
"320841,7384968",5.0
"320841,7400085",6.0
"320843,7383148",6.0
"320843,7419899",4.0
"320844,7386503",1.0
"320847,7383577",2.0
"320848,7390342",3.0
"320848,7414475",5.0
"320849,7393851",1.0
"320849,7396137",2.0
"320850,7410527",23.0
"320850,7417081",2.0
"320850,7424852",4.0
"320851,7390539",3.0
"320851,7398575",8.0
"320852,7387279",2.0
"320853,7422792",2.0
"320854,7403546",2.0
"320855,7389276",3.0
"320856,7392555",1.0
"320857,7387994",2.0
"320858,7381033",13.0
"320860,7380749",4.0
"320860,7394104",6.0
"320863,7383829",1.0
"320865,7396313",2.0
"320865,7396627",7.0
"320867,7408925",7.0
"320868,7382447",6.0
"320868,7418683",2.0
"320869,7389366",4.0
"320872,7383722",4.0
"320872,7396424",2.0
"320872,7423877",4.0
"320873,7398217",1.0
"320874,7382202",9.0
"320875,7383771",1.0
"320876,7383724",2.0
"320876,7395023",4.0
"320876,7410724",3.0
"320877,7391540",2.0
"320878,7399219",11.0
"320881,7390558",1.0
"320883,7398968",2.0
"320885,7388586",6.0
"320886,7410607",1.0
"320886,7410698",2.0
"320889,7390458",1.0
"320890,7387980",1.0
"320891,7386643",6.0
"320892,7381862",5.0
"320893,7383158",3.0
"320894,7387244",1.0
"320894,7411314",2.0
"320895,7384217",6.0
"320895,7388006",1.0
"320897,7399155",2.0
"320898,7381525",2.0
"320901,7382510",2.0
"320901,7387982",1.0
"320903,7385465",3.0
"320903,7391379",9.0
"320904,7384525",2.0
"320906,7410680",1.0
"320909,7382778",5.0
"320909,7391119",2.0
"320910,7380835",3.0
"320911,7383072",8.0
"320911,7385133",1.0
"320911,7387576",11.0
"320912,7384258",4.0
"320912,7413965",4.0
"320916,7393693",2.0
"320916,7408913",1.0
"320917,7424705",9.0
"320918,7426277",2.0
"320919,7383192",6.0
"320923,7385961",6.0
"320925,7397783",1.0
"320925,7417179",3.0
"320927,7406353",4.0
"320928,7401392",3.0
"320930,7387907",2.0
"320930,7393871",2.0
"320931,7395756",6.0
"320932,7370886",4.0
"320932,7397858",2.0
"320933,7402765",2.0
"320933,7419752",5.0
"320934,7402433",6.0
"320934,7417764",1.0
"320935,7380792",1.0
"320935,7386836",1.0
"320936,7374925",2.0
"320936,7385601",6.0
"320936,7388088",2.0
"320936,7408774",2.0
"320938,7383329",12.0
"320938,7398725",2.0
"320939,7387513",1.0
"320939,7398196",1.0
"320940,7391063",4.0
"320940,7417760",16.0
"320941,7398537",8.0
"320942,7385513",3.0
"320942,7401942",2.0
"320943,7384714",1.0
"320944,7392638",2.0
"320946,7389363",13.0
"320947,7386148",2.0
"320947,7401583",4.0
"320948,7382204",7.0
"320949,7395715",6.0
"320950,7381139",4.0
"320950,7418819",10.0
"320951,7401114",3.0
"320952,7392467",4.0
"320957,7402384",2.0
"320958,7380918",3.0
"320958,7392458",6.0
"320962,7379874",7.0
"320962,7392414",2.0
"320963,7414804",6.0
"320964,7417583",4.0
"320966,7381907",3.0
"320967,7389513",2.0
"320970,7397830",2.0
"320972,7387983",4.0
"320972,7388828",5.0
"320973,7419295",2.0
"320976,7404843",7.0
"320977,7388158",2.0
"320980,7392401",10.0
"320980,7394071",3.0
"320982,7381576",8.0
"320982,7404921",10.0
"320983,7381630",1.0
"320985,7407421",1.0
"320986,7378554",6.0
"320986,7401427",1.0
"320988,7392424",3.0
"320991,7409044",6.0
"320993,7387965",2.0
"320993,7397505",2.0
"320994,7388169",4.0
"320994,7404818",2.0
"320995,7387962",2.0
"320997,7382599",6.0
"320997,7399092",1.0
"320999,7380610",9.0
"320999,7389836",4.0
"321000,7379780",3.0
"321000,7417532",3.0
"321001,7379360",9.0
"321002,7385548",9.0
"321002,7387859",2.0
"321003,7401429",1.0
"321003,7408801",4.0
"321004,7393973",3.0
"321004,7401248",4.0
"321005,7391105",7.0
"321005,7408721",6.0
"321007,7417866",4.0
"321009,7426750",1.0
"321011,7392664",1.0
"321012,7418234",2.0
"321013,7386358",4.0
"321014,7397299",1.0
"321014,7401816",6.0
"321015,7379965",1.0
"321016,7378483",2.0
"321016,7383060",13.0
"321016,7397782",2.0
"321018,7383864",4.0
"321019,7407131",4.0
"321020,7383931",10.0
"321021,7409129",2.0
"321022,7394227",1.0
"321023,7390431",1.0
"321023,7419742",8.0
"321025,7416490",4.0
"321026,7385228",5.0
"321026,7385714",2.0
"321026,7408835",15.0
"321027,7416349",5.0
"321029,7387491",9.0
"321029,7424000",3.0
"321030,7400211",1.0
"321030,7409325",1.0
"321031,7381992",2.0
"321031,7384926",8.0
"321031,7386829",1.0
"321033,7397880",1.0
"321034,7386571",3.0
"321034,7414910",30.0
"321035,7375036",7.0
"321035,7387647",3.0
"321035,7422467",2.0
"321036,7411204",3.0
"321036,7419017",1.0
"321037,7380430",2.0
"321037,7394789",9.0
"321038,7403872",5.0
"321039,7387661",2.0
"321039,7388208",2.0
"321040,7381442",5.0
"321041,7380415",4.0
"321042,7375611",4.0
"321042,7375626",2.0
"321043,7380149",5.0
"321043,7425761",4.0
"321044,7419757",2.0
"321045,7382561",8.0
"321045,7382882",2.0
"321045,7409351",2.0
"321045,7424514",1.0
"321047,7407313",4.0
"321047,7419741",2.0
"321048,7384699",5.0
"321048,7388000",3.0
"321049,7388381",1.0
"321049,7389831",3.0
"321049,7398095",1.0
"321050,7383133",5.0
"321050,7387722",3.0
"321051,7387727",2.0
"321051,7388101",2.0
"321051,7395122",2.0
"321054,7388714",4.0
"321056,7380423",1.0
"321056,7406088",7.0
"321056,7414802",2.0
"321056,7414901",5.0
"321057,7360418",2.0
"321058,7390459",2.0
"321059,7381714",3.0
"321061,7413983",4.0
"321062,7389584",3.0
"321062,7396735",4.0
"321063,7385325",11.0
"321064,7375064",4.0
"321064,7381725",2.0
"321064,7388119",2.0
"321065,7383588",2.0
"321065,7410043",4.0
"321066,7387718",1.0
"321067,7424762",2.0
"321067,7426516",2.0
"321068,7398252",4.0
"321068,7401568",1.0
"321068,7425358",1.0
"321069,7381840",4.0
"321069,7386833",1.0
"321069,7391399",10.0
"321070,7381726",11.0
"321070,7387730",2.0
"321070,7395179",12.0
"321070,7418687",8.0
"321071,7382391",7.0
"321073,7391970",2.0
"321074,7409046",8.0
"321076,7402618",5.0
"321077,7382390",4.0
"321078,7389557",4.0
"321078,7401623",7.0
"321079,7410055",3.0
"321080,7375044",8.0
"321080,7382378",8.0
"321083,7398369",4.0
"321084,7391995",3.0
"321086,7382499",2.0
"321086,7425817",2.0
"321088,7402980",1.0
"321088,7408419",5.0
"321090,7384865",6.0
"321091,7381003",3.0
"321092,7417003",5.0
"321093,7381471",6.0
"321093,7405412",5.0
"321094,7401224",1.0
"321096,7388048",1.0
"321096,7394197",13.0
"321097,7394191",2.0
"321098,7422776",4.0
"321099,7398114",1.0
"321099,7403271",2.0
"321100,7395262",6.0
"321101,7388168",1.0
"321101,7393242",1.0
"321101,7398990",3.0
"321101,7411113",1.0
"321102,7389149",1.0
"321103,7390892",5.0
"321105,7385138",4.0
"321105,7425724",3.0
"321106,7386798",1.0
"321109,7393185",8.0
"321109,7414950",10.0
"321110,7401052",3.0
"321111,7403789",1.0
"321113,7394103",1.0
"321114,7402318",11.0
"321115,7398797",3.0
"321118,7407571",3.0
"321119,7394047",4.0
"321120,7409780",3.0
"321121,7384477",2.0
"321121,7395378",2.0
"321122,7409996",1.0
"321123,7424729",9.0
"321124,7388127",2.0
"321124,7405884",2.0
"321126,7386772",1.0
"321126,7388482",2.0
"321127,7383535",1.0
"321127,7397795",2.0
"321128,7385724",2.0
"321129,7399086",9.0
"321132,7401617",5.0
"321132,7406113",5.0
"321133,7425858",5.0
"321134,7401985",7.0
"321135,7414893",3.0
"321137,7387874",21.0
"321139,7383583",1.0
"321139,7389813",2.0
"321140,7413820",3.0
"321141,7382201",1.0
"321142,7393185",7.0
"321145,7379621",6.0
"321146,7393184",8.0
"321146,7404937",3.0
"321147,7374970",7.0
"321148,7388632",1.0
"321149,7395302",2.0
"321149,7401225",6.0
"321149,7423069",2.0
"321149,7424370",7.0
"321150,7385361",6.0
"321150,7388058",2.0
"321151,7392536",6.0
"321152,7394979",3.0
"321152,7398504",9.0
"321152,7398660",1.0
"321153,7389024",4.0
"321153,7391303",1.0
"321153,7405253",2.0
"321153,7409640",19.0
"321153,7425576",4.0
"321155,7389235",3.0
"321156,7380597",3.0
"321157,7380596",12.0
"321157,7399953",3.0
"321157,7406727",4.0
"321160,7398340",2.0
"321161,7399125",10.0
"321161,7401048",3.0
"321161,7407032",4.0
"321163,7388400",6.0
"321163,7398550",2.0
"321164,7372767",8.0
"321164,7390061",6.0
"321165,7405788",5.0
"321165,7417311",4.0
"321166,7385416",7.0
"321166,7410739",1.0
"321166,7424074",1.0
"321167,7385589",8.0
"321167,7395285",2.0
"321168,7385038",8.0
"321171,7400194",6.0
"321173,7409525",8.0
"321173,7418779",6.0
"321174,7399861",2.0
"321174,7407416",1.0
"321175,7378961",6.0
"321175,7387610",6.0
"321175,7393062",6.0
"321175,7407008",5.0
"321176,7379365",3.0
"321176,7383407",8.0
"321178,7385051",6.0
"321180,7409956",2.0
"321183,7384212",2.0
"321184,7383569",1.0
"321185,7392726",2.0
"321185,7393065",6.0
"321186,7394563",6.0
"321186,7407058",8.0
"321186,7424493",4.0
"321187,7383599",1.0
"321187,7398947",3.0
"321188,7401796",3.0
"321188,7409833",1.0
"321190,7409680",1.0
"321191,7397673",1.0
"321192,7418402",2.0
"321192,7424388",1.0
"321193,7394550",3.0
"321194,7374379",4.0
"321194,7418701",6.0
"321195,7381046",2.0
"321195,7383566",2.0
"321195,7386263",3.0
"321195,7417817",1.0
"321196,7389661",4.0
"321198,7385111",1.0
"321198,7413875",2.0
"321199,7416379",3.0
"321200,7393089",7.0
"321200,7399134",1.0
"321201,7391642",3.0
"321203,7382145",7.0
"321204,7391930",2.0
"321205,7404516",1.0
"321205,7415004",6.0
"321206,7423908",6.0
"321207,7381740",4.0
"321207,7400888",7.0
"321208,7381331",6.0
"321210,7388271",2.0
"321211,7406011",3.0
"321212,7375556",2.0
"321212,7406018",2.0
"321213,7357791",1.0
"321213,7388089",1.0
"321213,7416938",4.0
"321214,7381115",3.0
"321215,7360836",5.0
"321215,7382496",4.0
"321215,7402698",4.0
"321216,7394541",4.0
"321218,7392755",3.0
"321218,7398807",4.0
"321218,7401226",12.0
"321220,7406016",2.0
"321221,7380221",2.0
"321221,7384692",3.0
"321223,7379342",1.0
"321223,7393096",2.0
"321223,7394905",4.0
"321224,7381995",4.0
"321225,7392422",12.0
"321226,7381725",5.0
"321226,7382683",8.0
"321226,7393159",3.0
"321226,7394530",3.0
"321226,7401016",1.0
"321228,7425384",8.0
"321229,7400995",2.0
"321229,7406456",6.0
"321230,7425766",6.0
"321232,7400214",8.0
"321233,7382261",7.0
"321233,7406193",3.0
"321234,7401618",1.0
"321235,7382650",1.0
"321235,7401026",1.0
"321236,7405097",4.0
"321237,7379932",1.0
"321237,7390567",1.0
"321237,7390575",2.0
"321239,7381228",8.0
"321240,7359349",2.0
"321240,7381672",2.0
"321240,7401986",3.0
"321241,7359347",1.0
"321241,7389663",2.0
"321241,7391556",2.0
"321242,7359346",2.0
"321242,7359348",1.0
"321242,7359351",4.0
"321243,7359349",6.0
"321246,7398285",17.0
"321246,7422309",2.0
"321248,7380841",6.0
"321248,7401080",2.0
"321251,7407410",10.0
"321254,7381645",7.0
"321254,7383548",1.0
"321254,7394692",4.0
"321254,7401108",2.0
"321254,7409966",5.0
"321256,7372332",4.0
"321257,7372319",9.0
"321257,7379998",2.0
"321257,7384917",2.0
"321258,7383831",2.0
"321259,7381388",1.0
"321259,7393745",3.0
"321261,7379575",7.0
"321261,7392666",1.0
"321263,7395041",4.0
"321263,7403141",1.0
"321268,7384782",6.0
"321268,7393975",10.0
"321269,7390483",2.0
"321270,7382399",3.0
"321270,7387543",8.0
"321270,7393979",1.0
"321271,7394509",6.0
"321273,7391923",2.0
"321273,7393081",2.0
"321274,7393980",2.0
"321275,7384872",8.0
"321275,7393724",5.0
"321276,7422813",3.0
"321277,7372316",8.0
"321277,7409387",6.0
"321277,7415087",4.0
"321279,7383656",1.0
"321279,7383984",4.0
"321280,7388200",1.0
"321281,7383968",6.0
"321283,7400624",3.0
"321284,7385688",3.0
"321285,7388256",1.0
"321287,7380586",9.0
"321287,7386090",4.0
"321287,7401557",2.0
"321287,7416428",2.0
"321289,7381892",7.0
"321291,7398825",2.0
"321293,7379056",9.0
"321293,7380924",2.0
"321293,7381508",3.0
"321293,7386583",4.0
"321294,7380919",7.0
"321295,7410546",1.0
"321295,7424424",3.0
"321297,7408883",9.0
"321298,7389586",4.0
"321299,7394058",1.0
"321300,7386947",2.0
"321304,7417505",1.0
"321306,7388376",2.0
"321306,7394422",4.0
"321307,7381913",5.0
"321307,7394551",1.0
"321308,7392828",2.0
"321308,7400644",2.0
"321312,7396290",2.0
"321313,7392810",3.0
"321318,7392499",4.0
"321319,7388028",1.0
"321320,7390391",15.0
"321320,7392888",2.0
"321321,7381117",2.0
"321321,7392838",2.0
"321321,7405853",4.0
"321322,7406600",4.0
"321322,7419483",7.0
"321323,7384535",9.0
"321323,7402484",7.0
"321323,7415088",2.0
"321324,7385893",12.0
"321324,7399025",4.0
"321325,7415085",2.0
"321326,7375824",2.0
"321326,7388057",1.0
"321326,7402658",2.0
"321328,7390797",2.0
"321329,7380448",2.0
"321329,7397753",2.0
"321330,7359328",4.0
"321330,7413710",8.0
"321331,7371926",19.0
"321331,7382936",2.0
"321331,7385996",2.0
"321332,7387989",2.0
"321332,7406880",3.0
"321332,7426700",4.0
"321335,7403669",4.0
"321337,7389435",6.0
"321337,7390459",1.0
"321338,7359163",3.0
"321338,7381100",6.0
"321339,7394818",6.0
"321340,7380964",8.0
"321340,7382397",9.0
"321340,7389048",1.0
"321340,7400284",5.0
"321340,7406474",2.0
"321341,7381551",4.0
"321342,7388085",1.0
"321343,7401276",2.0
"321346,7390424",2.0
"321346,7410913",3.0
"321347,7392237",2.0
"321348,7395331",2.0
"321349,7391297",13.0
"321349,7394922",2.0
"321349,7405092",1.0
"321349,7411212",3.0
"321350,7385977",3.0
"321351,7387976",2.0
"321351,7389207",3.0
"321351,7389872",7.0
"321351,7411008",6.0
"321352,7409486",8.0
"321353,7381451",11.0
"321353,7391909",1.0
